Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-06-23,216.46157836914062,218.13670397547128,215.59137683655214,215.9503375101365,16007498
2015-06-24,215.56964111328125,218.95253860819756,214.645053720457,216.4615970349874,18603004
2015-06-25,218.53916931152344,219.5072652314738,214.28608517507436,214.72118593348057,27175118
2015-06-26,217.70159912109375,220.61674931825792,216.54857710619743,217.52755011611205,20966796
2015-06-29,215.55874633789062,216.2114047513867,211.4579422913098,214.91697960278276,20168946
2015-06-30,217.5710906982422,218.16934884280002,214.93874614884444,215.35209262832183,23184864
2015-07-01,218.7784881591797,219.82272420337213,217.7668835837284,217.7668835837284,14824266
2015-07-02,219.90975952148438,221.84595158149122,219.09394369145122,219.50729018503816,15931202
2015-07-03,219.11569213867188,220.55152040952004,218.2128590756872,219.6704416602343,13831096
2015-07-06,220.93223571777344,221.66101974990494,216.50510217394756,216.70090551973965,12237733
2015-07-07,218.25636291503906,221.16063614808877,217.54931873790096,219.94236564425586,11294999
2015-07-08,216.80967712402344,219.44202169675523,215.73280954982584,216.64650524879676,15190654
2015-07-09,214.80821228027344,217.76688594497895,213.8836249447732,216.67912674176577,16245867
2015-07-10,217.94093322753906,218.41954265790378,215.42823734868406,215.61314901773264,16110573
2015-07-13,219.0721893310547,220.26872018300077,216.4942304780482,217.94093594417842,9860248
2015-07-14,217.0707550048828,220.0511834781403,216.50512825756803,219.48555673082552,9942927
2015-07-15,219.97500610351562,220.68203578731644,217.45143322336284,217.4949418486898,13532911
2015-07-16,222.7052459716797,223.5972018394341,219.97500710874743,220.15991876723191,14854295
2015-07-17,222.2701416015625,224.32598221337813,221.465217520108,223.04244873663802,10195142
2015-07-20,222.93368530273438,224.0649386338411,221.44347128151625,223.59720637770764,6348354
2015-07-21,219.24620056152344,223.73859668276393,218.14757876273512,223.64070227891426,7923338
2015-07-22,228.51382446289062,229.28611709739235,218.5500586542751,218.6370759063611,17309440
2015-07-23,227.40432739257812,232.31005572088586,226.51237150661728,229.18822464226136,18642915
2015-07-24,222.9989471435547,228.3506533878568,222.13962273173738,227.9917072217525,13099664
2015-07-27,218.71322631835938,224.05407016168107,217.93005649040578,222.96632541482165,20118553
2015-07-28,219.7792205810547,221.18240281333925,217.57108520145218,219.3549969555256,13382878
2015-07-29,216.67913818359375,220.31222477925135,215.8307054200847,219.6160576906545,14790821
2015-07-30,217.5819549560547,219.2897265565692,215.874197877778,217.5710777999301,11701228
2015-07-31,217.95181274414062,219.26799232245264,215.37385389535888,217.5493434084387,16634259
2015-08-03,218.0823211669922,220.5623854031012,217.41880011352583,217.76688363575246,9887787
2015-08-04,214.93873596191406,218.77848829745216,213.19834739457272,218.28900174378774,12006872
2015-08-05,214.88433837890625,217.72336313868453,214.09027697150495,214.99310993547158,14345010
2015-08-06,212.96990966796875,215.8089345447042,212.65447214093444,215.59137690037377,8708037
2015-08-07,214.1446990966797,216.2440484412955,212.57833043355296,212.98079975609974,8608888
2015-08-10,210.78355407714844,215.11277860805586,209.8263352460786,214.1773286125562,9288894
2015-08-11,210.15267944335938,211.81692809853757,208.41227616385518,211.2404242319297,8762464
2015-08-12,205.12728881835938,210.15268081116474,204.61604789306946,209.63056272836315,9650325
2015-08-13,203.0496826171875,207.53120196877987,202.19035817595258,206.01923359004746,9340350
2015-08-14,210.35934448242188,211.45796642345957,203.2563573943083,204.55078269063554,12739366
2015-08-17,206.8241424560547,210.15265388382497,205.81253789260577,210.15265388382497,10857430
2015-08-18,205.3883056640625,207.97714132271105,204.97497374892143,207.97714132271105,6630334
2015-08-19,207.672607421875,209.06491256841613,204.37672718084926,205.36657751663782,8877298
2015-08-20,199.3404541015625,208.8364879290492,198.78570458144003,208.8364879290492,19008087
2015-08-21,197.52392578125,198.38325021650104,195.14175582094987,197.96990373414337,20050521
2015-08-24,180.4680633544922,191.4434349071719,177.95536732738998,191.4434349071719,35635706
2015-08-25,184.51449584960938,187.2338725957177,179.08664856032524,182.92638714909154,49504268
2015-08-26,185.65660095214844,190.312154463604,182.74143598359893,184.4383159021002,18955515
2015-08-27,189.08299255371094,191.7153369455157,186.45064816190617,188.57175169391553,26997546
2015-08-28,189.7900390625,192.0960542766674,188.419473808158,190.35566570979083,10770215
2015-08-31,186.2004852294922,189.88794304012004,185.7436301216836,189.88794304012004,20708942
2015-09-01,182.7088165283203,185.76538472715347,181.67545758628742,185.76538472715347,21645696
2015-09-02,184.81903076171875,186.46152489859278,183.3070624979701,184.91692516656278,19652369
2015-09-03,185.7545166015625,187.25560788191993,183.69867577435986,185.79802523094332,11659978
2015-09-04,181.84947204589844,184.85165412965017,179.4999338214119,184.85165412965017,16199949
2015-09-07,181.26210021972656,183.61163856216035,180.06558399730224,182.36072203668235,10234633
2015-09-08,184.6123504638672,185.55869208947638,179.49994187214685,181.8712345142223,12900468
2015-09-09,190.14901733398438,191.16062208065975,185.02573065207883,187.31000646178472,17340694
2015-09-10,188.61529541015625,189.37672552457278,186.11347642630847,187.31000738864293,11074406
2015-09-11,187.29910278320312,190.59496835066804,186.2657438666693,189.70301246925783,10634833
2015-09-14,187.92996215820312,188.33243140798243,185.33024955018945,187.4731071344315,7964072
2015-09-15,188.61529541015625,189.26795394315343,186.13523074259234,187.52755055148165,11509788
2015-09-16,189.8226776123047,190.8669136958319,188.2236920170436,189.72478320239375,13424811
2015-09-18,194.793701171875,195.68564262122166,190.82342245256606,191.1062285514048,34261453
2015-09-21,191.03005981445312,193.22730341889272,190.58408189550732,191.44340626534714,12732187
2015-09-22,184.46009826660156,192.50942736142224,183.7204370169958,191.44343685691507,15745524
2015-09-23,184.9930877685547,186.39628464210182,182.74145809422052,183.3941020614966,15221260
2015-09-24,182.16493225097656,184.48182459028524,181.59930561128058,184.48182459028524,29076982
2015-09-28,181.4905242919922,182.9372296586409,180.28313088817228,182.69793221805028,11624639
2015-09-29,182.90460205078125,184.97131989755627,179.71750802765786,180.56595528850346,15853471
2015-09-30,187.5927734375,188.13664575068643,182.41510204529132,185.13447813346082,17292020
2015-10-01,188.1149139404297,190.12724609659594,186.787871727305,190.12724609659594,8663393
2015-10-05,193.1837921142578,193.61889287114903,187.49487985154812,187.7015603352461,16015412
2015-10-06,195.3701629638672,195.90315809602671,192.69429562552833,194.84804498701223,12330294
2015-10-07,198.79656982421875,199.72115714309115,193.83645591084414,194.64137998961556,11515191
2015-10-08,193.42311096191406,199.03588333367867,192.80309853318894,199.03588333367867,10753149
2015-10-09,193.04241943359375,196.98006665409426,191.76976295269947,194.5000021155231,9327873
